2018-10-13 14:25:53 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3301.html', 's_cate': '港澳台小说', 'book_img': 'https://img14.360buyimg.com/n7/g5/M02/14/07/rBEIC0__k7MIAAAAAAD4Msrwn9UAAD8xAEKOk8AAPhK429.jpg', 'book_name': '四大名捕逆水寒（套装3册）', 'book_author': ['温瑞安'], 'book_press': '作家出版社', 'book_publish_date': '2012-07', 'book_sku': '11042889', 'book_price': '66.80'}
2018-10-13 14:25:53 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3301.html', 's_cate': '港澳台小说', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t20041/7/428798760/581841/9871895a/5af52721Ne943db55.jpg', 'book_name': '断代', 'book_author': ['郭强生'], 'book_press': '民主与建设出版社', 'book_publish_date': '2018-07', 'book_sku': '12360340', 'book_price': '26.50'}
2018-10-13 14:25:53 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3301.html', 's_cate': '港澳台小说', 'book_img': 'https://img14.360buyimg.com/n7/jfs/t6040/339/7675930419/138075/e827c132/598170f5N4124534e.jpg', 'book_name': '寂寞的游戏', 'book_author': ['袁哲生'], 'book_press': '北京联合出版公司', 'book_publish_date': '2017-09', 'book_sku': '12148719', 'book_price': '26.80'}
2018-10-13 14:25:54 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3301.html', 's_cate': '港澳台小说', 'book_img': 'https://img11.360buyimg.com/n7/g12/M00/08/18/rBEQYVGcGDMIAAAAAAd5PKb6adMAABtbwDRDUsAB3lU265.jpg', 'book_name': '要多美丽就多美丽', 'book_author': ['亦舒'], 'book_press': '东方出版社', 'book_publish_date': '2013-05', 'book_sku': '11237951', 'book_price': '18.70'}
2018-10-13 14:25:54 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3301.html', 's_cate': '港澳台小说', 'book_img': 'https://img10.360buyimg.com/n7/12184/83c06076-bc88-429a-93ff-c5df5baa3bb2.jpg', 'book_name': '书剑恩仇录（上下）（新修版）', 'book_author': ['金庸'], 'book_press': '花城出版社', 'book_publish_date': '2008-03', 'book_sku': '10106285', 'book_price': '34.20'}
2018-10-13 14:25:54 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3310.html', 's_cate': '宫廷', 'book_img': 'https://img11.360buyimg.com/n7/jfs/t13375/118/2681367130/537409/8aa71bb5/5a5c09f5N1f7c7c14.jpg', 'book_name': '暮云深', 'book_author': ['戎葵'], 'book_press': '江苏凤凰文艺出版社', 'book_publish_date': '2018-01', 'book_sku': '12279381', 'book_price': '30.90'}
2018-10-13 14:25:54 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3301.html', 's_cate': '港澳台小说', 'book_img': 'https://img14.360buyimg.com/n7/g12/M00/08/18/rBEQYVGcGDMIAAAAAAY0rg6Ggy4AABtbwC_4SsABjTG202.jpg', 'book_name': '掰', 'book_author': ['亦舒'], 'book_press': '东方出版社', 'book_publish_date': '2013-05', 'book_sku': '11237949', 'book_price': '18.70'}
2018-10-13 14:25:54 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3308.html', 's_cate': '军事', 'book_img': 'https://img14.360buyimg.com/n7/jfs/t17872/117/1703915946/265430/3b41f73b/5ad70af9N025b5940.jpg', 'book_name': '绝密较量', 'book_author': ['沉石'], 'book_press': '华艺出版社', 'book_publish_date': '2018-04', 'book_sku': '12335329', 'book_price': '26.30'}
2018-10-13 14:25:54 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3310.html', 's_cate': '宫廷', 'book_img': 'https://img12.360buyimg.com/n7/jfs/t679/325/925865574/76660/9c9c2157/549cc358N9ea75aa8.jpg', 'book_name': '簪中录1', 'book_author': ['侧侧轻寒'], 'book_press': '江苏文艺出版社', 'book_publish_date': '2015-01', 'book_sku': '11604372', 'book_price': '20.60'}
2018-10-13 14:25:54 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3310.html', 's_cate': '宫廷', 'book_img': 'https://img12.360buyimg.com/n7/jfs/t3166/294/4193931583/975886/57a79708/58004c5eNd20ca10e.jpg', 'book_name': '凤凰无双', 'book_author': ['冰蓝纱'], 'book_press': '重庆出版社', 'book_publish_date': '2016-08', 'book_sku': '12050622', 'book_price': '43.40'}
2018-10-13 14:25:54 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3308.html', 's_cate': '军事', 'book_img': 'https://img12.360buyimg.com/n7/jfs/t352/330/1270461633/343463/ec1fbfde/5435f832Ncc96b07f.jpg', 'book_name': '狼群（上）', 'book_author': ['刺血'], 'book_press': '湖南文艺出版社', 'book_publish_date': '2014-10', 'book_sku': '11556047', 'book_price': '24.10'}
2018-10-13 14:25:54 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3308.html', 's_cate': '军事', 'book_img': 'https://img14.360buyimg.com/n7/jfs/t21004/126/1887264075/154370/3c335e0a/5b3dc8baN2e996055.jpg', 'book_name': '试飞英雄', 'book_author': ['张子影'], 'book_press': '安徽人民出版社', 'book_publish_date': '2017-02', 'book_sku': '12151394', 'book_price': '28.00'}
2018-10-13 14:25:54 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3310.html', 's_cate': '宫廷', 'book_img': 'https://img12.360buyimg.com/n7/jfs/t991/194/5399163/1007996/5de3e06f/54dad2a9N0d85a0b3.jpg', 'book_name': '后宫·甄嬛传6', 'book_author': ['流潋紫'], 'book_press': '浙江文艺出版社', 'book_publish_date': '2015-01', 'book_sku': '11614817', 'book_price': '29.70'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3310.html', 's_cate': '宫廷', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t1090/200/5743704/1006992/f7b5605b/54dace96N7afbb49d.jpg', 'book_name': '后宫·甄嬛传4', 'book_author': ['流潋紫'], 'book_press': '浙江文艺出版社', 'book_publish_date': '2015-01', 'book_sku': '11614820', 'book_price': '23.30'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3303.html', 's_cate': '外国小说', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t3715/66/1895635005/167409/c8a0c796/583408d8N807dd142.jpg', 'book_name': '人间失格', 'book_author': ['太宰治'], 'book_press': '武汉出版社', 'book_publish_date': '2011-12', 'book_sku': '10884795', 'book_price': '15.60'}
2018-10-13 14:25:55 [book.spiders.jd] WARNING: {'b_cate': '小说', 's_href': 'https://list.jd.com/1713-3258-3308.html', 's_cate': '军事', 'book_img': 'https://img10.360buyimg.com/n7/jfs/t346/334/1317536626/298584/cc2233d3/5435fcf4Nc0e3fe21.jpg', 'book_name': '狼群（下）', 'book_author': ['刺血'], 'book_press': '湖南文艺出版社', 'book_publish_date': '2014-10', 'book_sku': '11556050', 'book_price': '24.10'}
